"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.model1","Input.model1topicNum","Input.model1label","Input.model2","Input.model2topicNum","Input.model2label","Input.model1word1","Input.model1word2","Input.model1word3","Input.model1word4","Input.model1word5","Input.model1word6","Input.model1word7","Input.model1word8","Input.model1word9","Input.model1word10","Input.model2word1","Input.model2word2","Input.model2word3","Input.model2word4","Input.model2word5","Input.model2word6","Input.model2word7","Input.model2word8","Input.model2word9","Input.model2word10","Answer.comment","Answer.model","Approve","Reject"
"2J2YEPLSP75K0VU1QDFAPQEQ0IHRX5","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:22 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:22 GMT 2012","","","20I7Q67051QKRWF693HC9XMGUZMEYP","AAPB49CQXBACN","Submitted","Tue Dec 11 15:20:44 GMT 2012","Tue Dec 11 15:33:15 GMT 2012","Tue Dec 18 07:33:15 PST 2012","","","","751","0% (0/0)","0% (0/0)","0% (0/0)","LAU_ET_AL","13","Banks","EDA","3488432","2009–2011 Toyota vehicle recalls","bank","pct","rate","banks","rates","money","fed","week","market","interest","toyota","recall","vehicles","acceleration","floor","february","driver","mat","brake","car","","2"
"2J2YEPLSP75K0VU1QDFAPQEQ0IHRX5","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:22 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:22 GMT 2012","","","20I7Q67051QKRWF693HC9XMGUZPEYS","A1TC5SGERH01OT","Submitted","Tue Dec 11 15:55:05 GMT 2012","Tue Dec 11 15:55:33 GMT 2012","Tue Dec 18 07:55:33 PST 2012","","","","28","0% (0/0)","0% (0/0)","0% (0/0)","LAU_ET_AL","13","Banks","EDA","3488432","2009–2011 Toyota vehicle recalls","bank","pct","rate","banks","rates","money","fed","week","market","interest","toyota","recall","vehicles","acceleration","floor","february","driver","mat","brake","car","","1"
"2J2YEPLSP75K0VU1QDFAPQEQ0IHRX5","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:22 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:22 GMT 2012","","","2RGVR14IXKO20IQMLMNAEX3Y0B69A3","A2KE1BQ2IVX4KC","Submitted","Tue Dec 11 15:54:37 GMT 2012","Tue Dec 11 16:21:51 GMT 2012","Tue Dec 18 08:21:51 PST 2012","","","","1634","0% (0/0)","0% (0/0)","0% (0/0)","LAU_ET_AL","13","Banks","EDA","3488432","2009–2011 Toyota vehicle recalls","bank","pct","rate","banks","rates","money","fed","week","market","interest","toyota","recall","vehicles","acceleration","floor","february","driver","mat","brake","car","","2"
"2CQER9Y8TNKI18GRCU6H02OM5O77UV","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:21 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:21 GMT 2012","","","24DRGNTBJ3MMS6TKWHE6AKHBLL4V9N","AAPB49CQXBACN","Submitted","Tue Dec 11 15:20:37 GMT 2012","Tue Dec 11 15:32:10 GMT 2012","Tue Dec 18 07:32:10 PST 2012","","","","693","0% (0/0)","0% (0/0)","0% (0/0)","EDA","3543821","2010 New England Revolution season","RANDOM","1887550","Royalties","revs","team","season","game","goal","win","minute","time","april","blue","inflation","money","price","rate","prices","supply","currency","interest","monetary","economy","","1"
"2CQER9Y8TNKI18GRCU6H02OM5O77UV","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:21 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:21 GMT 2012","","","2U91Q6SVQ8H8NVEZDVWOJVCIDQRN45","A2KE1BQ2IVX4KC","Submitted","Tue Dec 11 15:55:22 GMT 2012","Tue Dec 11 16:23:53 GMT 2012","Tue Dec 18 08:23:53 PST 2012","","","","1711","0% (0/0)","0% (0/0)","0% (0/0)","EDA","3543821","2010 New England Revolution season","RANDOM","1887550","Royalties","revs","team","season","game","goal","win","minute","time","april","blue","inflation","money","price","rate","prices","supply","currency","interest","monetary","economy","","2"
"2CQER9Y8TNKI18GRCU6H02OM5O77UV","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:21 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:21 GMT 2012","","","2V7395SW6NG1U1RS5XAB6F1FBRTUGR","A1C9B28BX0QS3W","Submitted","Tue Dec 11 15:51:24 GMT 2012","Tue Dec 11 15:51:39 GMT 2012","Tue Dec 18 07:51:39 PST 2012","","","","15","100% (215/215)","100% (215/215)","100% (185/185)","EDA","3543821","2010 New England Revolution season","RANDOM","1887550","Royalties","revs","team","season","game","goal","win","minute","time","april","blue","inflation","money","price","rate","prices","supply","currency","interest","monetary","economy","","2"
"2IBHV8ER9Y8T2T6R62D5SFHS7ND4R4","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:22 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:22 GMT 2012","","","20YSVQ8H88MQ9F9AVLMCQ1RX932Q7D","AAPB49CQXBACN","Submitted","Tue Dec 11 15:34:45 GMT 2012","Tue Dec 11 15:41:29 GMT 2012","Tue Dec 18 07:41:29 PST 2012","","","","404","0% (0/0)","0% (0/0)","0% (0/0)","LAU_ET_AL","44","Billion","EDA","1280166","Capital gains tax in Australia","pct","billion","year","january","february","rose","march","dlrs","mln","fell","capital","cost","base","shares","gain","cgt","gains","tax","assets","asset","","2"
"2IBHV8ER9Y8T2T6R62D5SFHS7ND4R4","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:22 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:22 GMT 2012","","","2MGK2JE1M7PKZI9W3GFZIC04XYRPWP","A1C9B28BX0QS3W","Submitted","Tue Dec 11 15:56:47 GMT 2012","Tue Dec 11 15:57:02 GMT 2012","Tue Dec 18 07:57:02 PST 2012","","","","15","100% (215/215)","100% (215/215)","100% (185/185)","LAU_ET_AL","44","Billion","EDA","1280166","Capital gains tax in Australia","pct","billion","year","january","february","rose","march","dlrs","mln","fell","capital","cost","base","shares","gain","cgt","gains","tax","assets","asset","","2"
"2IBHV8ER9Y8T2T6R62D5SFHS7ND4R4","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:22 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:22 GMT 2012","","","2Q7L6VCPWZ9R2MKNV5SSFSN3PSB9O3","A771BLWJLMWYY","Submitted","Tue Dec 11 16:04:11 GMT 2012","Tue Dec 11 16:04:20 GMT 2012","Tue Dec 18 08:04:20 PST 2012","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","LAU_ET_AL","44","Billion","EDA","1280166","Capital gains tax in Australia","pct","billion","year","january","february","rose","march","dlrs","mln","fell","capital","cost","base","shares","gain","cgt","gains","tax","assets","asset","","2"
"29DGULF395SWLW46M2UN6NJB3ERCQN","2AI9RA7S5WM1LIMXVPY0RMHLAJCUZC","Evaluate Topic Label Quality","Choose which of two topic labelings you prefer. (A topic is a collection of words. A topic label is a string representing the meaning of a topic.)","topic, label, evaluate, opinion","$0.05","Tue Dec 11 15:16:22 GMT 2012","3","BatchId:987323;","3600","604800","Tue Dec 18 15:16:22 GMT 2012","","","23H9RA7S5WM1LIMXVPY0RMHLMHOZUM","A771BLWJLMWYY","Submitted","Tue Dec 11 16:03:55 GMT 2012","Tue Dec 11 16:04:03 GMT 2012","Tue Dec 18 08:04:03 PST 2012","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","LAU_ET_AL","48","Hyperinflation","RANDOM","973582","Economy of the People's Republic of China","dollar","yen","bank","currency","rates","exchange","japan","west","marks","central","futures","contract","exchange","margin","price","market","delivery","asset","contracts","risk","","1"
